Q9NWM3-1,Q9NYB9-2
Q13277-1,Q9H115-1
Q13277-1,Q9GZR5
Q96Q45-2,Q9UBY5
A0A0B4J2F2,P78337
B8A4K4,Q9NU39
Q6S9Z5,Q8N9N5-2
P79522-1,Q86VE0
A0A0C4DGW6,P51687
P0CG20,Q03154-1
P27105-1,Q96DZ9-2
Q96GM5-1,Q9H079
Q08426-1,Q8IYE1
G5E9W6,O95983-2
Q99757,Q9BX10-1
Q8NHQ1-1,Q8WWY3-1
Q9HBI0-1,Q9UBR4-2
Q9H2F3-1,Q9H6H4-1
Q15848,Q7Z769
O15075-2,Q9UJX2-1
P55209-1,Q8NHY3-1
P49023-2,Q494U1-3
Q53FD0-2,Q8N6L0
P09211,P78385
P53611,Q9UBV7
Q99687-3,Q9UIG4
Q8TBB1-1,Q9P209-1
Q9H788-1,Q9NZC7-5
Q9BSE4,Q9NUM3-1
O43189-1,P86496
Q96NT3-2,Q9BYR5
Q53GL0-1,Q5TGU0-1
P04004,Q9HD26-2
P62979,Q99732-1
Q8WWP7,Q9H6H4-1
Q8IY42,Q96LK0
P02538,P19012-1
O95867,Q8WVX3-1
Q6ZRY4-1,Q96SI9-1
B0YJ81-1,Q9NZ01-1
A6H8Z2-1,Q8IYE1
A0AV96-1,Q5SWW7
Q96EC8-1,Q9Y666-1
P13647,Q2M2I5
P35240-4,P50402
O75800-1,P15884-3
P49639,Q86UW9-1
Q9UBR2,Q9UJV3-2
Q13422-7,Q9BWG6-1
P36021,Q86W74-2
Q6L8H2,Q8IUC1
Q6A162,Q8TAU3-1
E5RGB3,O43741-1
Q16585-1,Q92982
P48165,Q5J8X5-1
P06028-1,Q99500
A8MTA8-2,Q7Z6R9
O75293,Q5JVL4-1
P58418-3,Q53HI1
Q3SY00-1,Q8NHQ1-1
O14777,P18848
O76011,Q9Y247
P57055-1,Q8TAP6-1
Q96KC2,Q9BVV2
O43711,Q9BPU9
Q9BVV2,Q9BWG6-1
Q01081-1,Q10567
Q6L8G9,Q9UGL9
P19397,Q9BXN2-7
Q15014,Q9H165-2
P47897-1,Q9H0C1
Q6IN84-1,Q92482-1
P08247-1,Q96E11-1
O75031-1,P09067
O75140-2,P49368-1
Q96QK1,Q9UBQ0-2
P17482,Q7Z3Y8
P49842-2,Q9UGI0
O95219-1,Q6ZPD8
Q52LG2,Q7Z5V6-2
O75208-1,Q8N2M4
P49639,Q5T751
H0YKB7,Q9BVG8-5
Q3V5L5-5,Q52LG2
Q8N5M9,Q9BUP3-1
Q5JST6-1,Q9Y5B8-1
Q3SY00-1,Q8TAS1-2
O75031-1,P62857
Q8N5M4-1,Q8N6Y0-1
P62851,Q9H2G4
Q8WV19,Q96C03-1
Q3LI66,Q7Z5V6-2
Q8N720-1,Q9NV31
A0A087X279,O14879
Q96ED9-2,Q9H0A9-2
P62316-1,Q9BW66-1
P23511-2,Q96K80
O43609,Q9BYR7
P55040,Q6PI77
P54315-1,Q8TDT2
Q9NPQ8-1,Q9UNF0-1
B1AHH4,O76011
Q09327,Q9BSL1
M0QXR4,P61236-2
O43281-2,P06241-3
P18669,Q8IV45
Q07627,Q5T7P2
Q3SYF9,Q9NQ32-2
P62995-1,Q15415-1
P36406-1,Q96BZ8
P41271-1,Q8IUC1
O43639,P48023-1
Q13895,Q9H0H5
Q15699,Q9BYR3
A0PJY2-1,Q5TD97
A0A075B739,Q9UKT9-1
Q9BUP3-1,Q9H6H4-1
P78369-1,Q9NUH8-1
I3L3J2,P57086
Q86Z20-1,Q96GE4-1
Q53FP2,Q5SNT2-2
Q6DN72-1,Q8N3T1
Q96MY7-2,Q9Y3M2
A0A087WZP6,Q5T749
Q13227-1,Q53HV7-2
A0JP26,Q16874
Q02930-4,Q9GZV8
P55212-1,Q96HA8-1
O95967,Q96MM6
P26715-1,P48509
P60903,Q8NB16-2
Q86Z20-1,Q9Y3M9-1
Q9UNK0,Q9Y680-2
A0A1B0GTW0,A6NM10-2
Q13021,Q8N9I0
Q68D86-1,Q96KQ4
Q6L8G8,Q9BYR3
Q14142-1,Q9Y247
P56470,Q96NM4-3
Q15172-1,Q8N6Y0-1
Q6NVZ8,Q96E35
P17023-1,Q9BRQ3-1
Q17RB0,Q86TG7-2
Q494U1-3,Q96T49-1
Q6PEX3,Q9BYR5
Q8TD31-1,Q969V4
O60895-1,P80188-1
Q12846-1,Q8TDT2
B8A4K4,P84101-3
Q16656-4,Q8NEQ6
Q13277-1,Q8TDT2
P78385,Q7Z3S9-1
P60410,Q9NRQ2-1
Q3LI66,Q9ULV5-2
P24593,Q8IVF2-2
Q08117-2,Q8N5A5-2
O15342,P05090
P11686,Q3MIR4
F8WBZ3,P15941-11
Q3B820-1,Q6PI77
P62140,Q9UQK1
P0DPK4,Q92911
P15173,Q9UI47-1
P78358-1,Q2WGJ6
P61266-1,Q96MY7-2
O14863,Q9Y5U9
O76003,Q9BYQ4
H3BRF9,O75351
Q8IYH5-1,Q9NRD5-1
O00155,Q6N075-1
P11912-1,Q8N609
P60329,Q3V5L5-5
Q3LI72,Q96NT3-2
A6ZKI3,P42772-1
Q12933-1,Q13895
O76071,Q68CZ6-1
Q7L5A3-1,Q9P2Y4
Q15800-1,Q6NT55
A6NDS4,Q99750
P23297,P26447
G8JLG2,Q8IYI6
P60328,Q7Z3S9-1
P48165,Q7RTS6
Q7RTT5,Q96CN5
P06239-3,Q9GZU7-1
Q2TAC2-2,Q9HCD5
P08670,Q08117-2
Q13064,Q9NP55-1
P14373-1,Q96A72
Q9H322,Q9NVV9-1
Q5JUK2-1,Q86UW9-1
O76083-2,P60411-1
O43759-2,Q86VR2-1
Q8IUB9,Q8TBE0-1
P60201-2,Q8TAF8
Q96MF2-2,Q9H0I2-1
Q63ZY3-1,Q8IVW4-1
Q96KR7-1,Q9Y5Z9-1
P11836-1,Q5JXX7
P14678-2,Q02447-1
Q96BA8-1,Q9NTJ5-1
P0CW01,Q9C005
O76011,Q3SYF9
Q8WWB3-1,Q9C005
Q96K58,S4R3B8
Q969K7-1,Q96SA4-1
Q96CD0,Q9NRD5-1
G3V5E1,Q3SYF9
C9J9W2,Q86UR1-2
Q9BV47-1,Q9BWT7-1
O43521-1,Q13064
Q9H9S4,Q9UQR0-1
P48723,Q9UMX0-1
Q2TAC2-2,Q6ZT89-3
O00623,Q7L5A8-1
O95967,P10745
P61970,Q9BYQ0
Q16617,Q96HJ5-1
Q6ZN57,Q9NYL2-2
Q15848,Q9BQA9-1
Q6PL45-2,Q9Y336-1
A0A024RAC6,Q96IK5
O43609,Q5TA76
O95935,Q7LC44
O14787-2,Q9BZR9
Q8TDR4,Q96GM5-1
O60504-1,O60568
C9J9W2,P60410
P08727,P19013
Q09470,Q9Y5U9
Q8N7W2-2,Q9UH92-3
O14880,Q9NUM3-1
