P54727
P55036
Q16186
P0CG48
P54725
P63098
P63208
P12931
P08631
P62993
Q13177
P16333
O94875
O60504
Q13444
O15259
Q92556
P61925
Q93100
P10636
P16220
P62753
P14598
P04792
P04004
P05787
P20338
P08581
P01589
P02545
P20700
P02671
P43487
O60238
P10415
Q92793
P06400
O15151
P04637
O15078
O43303
O75665
O00444
P41208
Q14203
P30622
Q15154
O14777
Q15468
O75161
Q3B820
O15182
Q8NBT0
Q8TC44
Q8TES7
Q92834
Q1MSJ5
O95684
Q8TC07
Q49A88
P40222
Q96CS2
Q92844
Q04206
P61981
O94972
Q53EZ4
Q13625
Q8TD31
Q7L590
P53350
Q9BRK4
Q86SG6
P27986
P13861
Q9H3P7
Q7L576
P63167
Q15788
P06858
P05230
P54252
P42858
O75400
O43426
P00519
Q96AY2
P17693
P61769
Q07954
P30533
Q6Q788
P02649
P06213
P30153
P46098
A5X5Y0
P06733
P22303
P20340
P40616
P13010
P12956
Q16531
O60282
Q9HAU4
P53667
P04049
P51587
P10321
P30685
P13746
P30504
P43626
P01732
P13497
P17096
P52926
P11362
P21802
P09038
P06865
P25054
Q07812
O75807
P0DP24
P19338
Q02108
P02751
P63000
O75563
P10145
P42345
P30511
P04439
P01889
P01892
P52292
P04222
P43627
P01308
Q14213
P15692
P14618
P38398
P13612
P01019
P01042
P06881
P06307
P05305
P22466
O43603
P00533
P05112
P51671
P13236
P20366
P29371
P01303
P10082
P30989
P01210
P41146
P01282
P01185
P62330
O15392
P98170
P24863
P08238
O75469
P19793
P17612
P00736
O00481
P05106
P60484
O14920
Q07820
P30447
P05534
P03989
P18465
P30460
P43629
P30483
P30493
P30443
P30508
P04626
P20809
Q86YP4
O14625
P48061
P13500
P80098
P98066
O00585
P13501
P02776
P61020
P37840
O75909
P68871
Q86U44
Q6ZNE5
Q14457
P50213
Q9UJW3
P10276
O75376
P03372
P04150
P06241
P06239
P52735
P42685
P09769
P07947
P16591
O14512
P07332
P20936
P07948
P19174
Q13322
Q8IZP0
P42684
P15498
Q08881
P46109
Q13191
O00459
P46108
O15357
B5MC15
Q96BT3
Q8NBT2
Q8NG31
Q96IY1
O75791
Q05397
P10912
P10827
P10828
P06748
P11473
Q14686
P62826
P23246
Q5EE01
A8MT69
O14893
A2A3R6
A4D2J9
A4FVC0
A8K1F4
A8K251
A8K2M0
B2RB89
B2RC52
B3KM70
B3KQG4
B3KTT5
B3KV54
B4DE84
P07900
Q15185
B4DR88
B4DYC6
O00165
O14617
O14654
O14775
O14802
O15146
O15519
O15530
O43151
O43242
O43293
O43765
O60502
O60884
O75132
O75159
O75190
O75426
O94763
O75344
O00170
O94906
O94966
O95072
O95429
O95816
O95817
O95985
P00540
P04350
P08913
P11908
P13667
P15918
P16615
P18074
P18505
P19086
P19447
P19474
P20794
P25098
P25686
P25705
P30679
P30876
P30988
P33992
P33993
P34972
P35251
P35998
P38405
P40337
P43155
P43250
P47871
P49674
P49758
P50416
P50750
P51788
P53618
P54652
P56192
P58340
P59046
P31948
P62873
P78395
Q00534
Q00597
Q02790
Q05C05
Q05CV4
Q06609
Q10587
Q13131
Q13133
Q13200
Q13309
Q13620
Q13885
Q14145
Q14164
Q13451
Q14190
Q14249
Q14257
Q14318
Q14344
O95433
Q14653
Q15029
Q15047
Q15078
Q15131
Q15393
Q15750
Q15831
Q15850
Q16221
Q16543
Q1MSW8
Q2TAK1
Q2WGJ6
Q308M6
Q3KQR5
Q3MSN4
Q3SYB3
Q03933
Q3SYG0
Q4G1B2
Q4TT70
Q53FC7
Q53HC9
Q53HY9
Q53XS2
Q573B4
Q59E89
Q59FJ7
Q59FM5
Q59FP4
Q59G26
Q59GD3
Q59GL9
Q59GT1
Q59H13
Q5C8S5
Q5H9I0
P22681
Q5T7U4
Q5T853
Q5TA56
Q5TZT0
Q5ULA9
Q6AI12
Q6FH24
Q6FHF7
Q6FHM2
Q6FHN3
Q6IAW5
Q6LC83
Q6N074
Q6NSI4
Q6PK50
Q6PKC8
Q6VAB6
Q6VVB1
Q6ZUC8
Q70CQ1
Q7L5D6
Q7L5Y6
Q7Z3Z4
Q7Z4G2
Q7Z511
Q7Z6J8
Q7Z790
Q86UP8
Q86WA0
Q8IWB1
Q8IWD4
Q8IZD4
Q8IZN1
Q8N1E6
Q8N5Q5
Q8N6T7
Q7L3B6
Q8N8C6
Q8N9S9
Q8NHY5
Q8IWX7
Q8NI51
Q8IVD9
O95801
Q8TA90
Q8TBI1
Q8TC59
Q8TCJ0
Q8TDZ3
Q8WVL7
Q8WW22
Q8WXU2
Q8WYX9
Q92598
Q92620
Q92925
Q92993
Q93000
Q96BE0
Q96BQ3
Q96C36
P62495
Q96FT7
Q96II5
Q96J94
Q96PK0
Q96S08
Q99933
Q9BTE6
Q9BZI0
Q9H0A0
Q9BPW0
Q9H6T3
Q99471
Q9HAV0
Q9HAV2
Q9HCU5
Q9HB71
Q9NUG6
Q9NYS7
Q8WVJ2
Q9UBK9
Q9UBN7
Q9UHV9
Q12894
Q9UKT8
Q9UIM3
Q99614
Q9UNE7
Q96RS6
Q9Y266
A2RRH5
A4D1P6
A6NCF5
O00423
O00628
O60938
O75037
O95199
P20594
P21810
P22607
P35590
P42679
P53671
Q04725
Q09019
Q12770
Q12788
Q13164
Q13470
Q13546
Q14004
Q14137
Q149M9
Q53GT1
Q53HC5
Q562E7
Q6JEL2
Q6PF15
Q6PID8
Q6ZMY6
Q86UN3
Q86W42
Q8IWZ6
Q8IYD2
Q8N1V2
Q8N239
Q8N5D0
Q8N7A1
Q8NA23
Q8NA75
Q8NFJ9
Q8NI36
Q8TD19
Q8TEB1
Q8WV16
Q8WVS4
Q8WZ60
Q96KV7
Q96P53
Q96RY7
Q9BQ87
Q9BVC4
Q9C0C7
Q9H808
Q9HBG6
Q9NRG9
Q9P2S5
Q9UFC0
Q9UJT9
Q9UMS4
Q9UQ03
O14745
O43918
P17936
Q15633
Q9UKV8
Q96GD4
Q53HL2
P27824
P04040
P50613
P10809
P05091
P15311
Q08379
P49841
O15169
P35222
P68431
P49321
P21675
P11142
O75928
O60684
O00629
O00505
P25786
P20618
O14818
P62491
P20339
P51151
O75880
Q7KZN9
P36957
P21796
O43493
P12830
O43707
P02679
P05556
P08648
P05067
O94806
P41145
P25445
Q99683
P46934
P55854
P63165
O75865
P25490
P49407
P25963
O95631
Q13098
P61201
O95999
B7Z2Y1
Q14155
Q14160
P22460
O00429
P25100
P53778
P33402
O15439
P48065
A6NIM6
P81408
Q12959
P85299
A1L4L8
O60333
A1A5B4
P0C2L3
Q96NW7
Q96RT1
O00192
Q96DL1
Q8NHY3
P48050
P12814
P35609
Q08043
P22459
P67775
P10721
P02786
P00747
P58335
Q03518
O43889
Q13158
Q9NZN9
P24390
P31749
P23443
P15882
P63010
P03950
P01009
P08069
P84077
Q15276
Q99816
P0CG47
O75955
O95259
P61626
P36776
P0DMV8
O14727
P05019
P61088
O43567
P42574
P19320
P08727
P11021
O75608
O75367
P11388
P08754
O75146
P08779
P02008
P13639
P07910
O43395
P00338
P14174
P09651
P09496
O60610
P02538
P10412
O43678
P06493
O00233
P07814
O00541
P06730
O60506
O15371
O75694
O43684
O43390
P02100
O60493
P05198
P14866
P13224
B7Z5V2
O95373
P11940
O43175
P04406
O60231
P17987
P10768
