ENSP00000264982,ENSP00000378642
ENSP00000266673,ENSP00000368858
ENSP00000351614,ENSP00000369339
ENSP00000379051,ENSP00000403683
ENSP00000357754,ENSP00000386453
ENSP00000268717,ENSP00000317296
ENSP00000307954,ENSP00000363396
ENSP00000190983,ENSP00000343246
ENSP00000247970,ENSP00000389059
ENSP00000307142,ENSP00000365116
ENSP00000231706,ENSP00000292596
ENSP00000318821,ENSP00000358861
ENSP00000311521,ENSP00000362994
ENSP00000286201,ENSP00000370395
ENSP00000271715,ENSP00000312534
ENSP00000276602,ENSP00000411624
ENSP00000265138,ENSP00000379931
ENSP00000261017,ENSP00000462717
ENSP00000338562,ENSP00000366225
ENSP00000338562,ENSP00000358831
ENSP00000387203,ENSP00000395389
ENSP00000265340,ENSP00000482829
ENSP00000302756,ENSP00000386453
ENSP00000296600,ENSP00000347125
ENSP00000325402,ENSP00000365744
ENSP00000348440,ENSP00000481500
ENSP00000384296,ENSP00000386499
ENSP00000286713,ENSP00000352270
ENSP00000256544,ENSP00000378414
ENSP00000231887,ENSP00000309836
ENSP00000156825,ENSP00000419222
ENSP00000216185,ENSP00000303997
ENSP00000264982,ENSP00000324122
ENSP00000360811,ENSP00000391583
ENSP00000297679,ENSP00000303482
ENSP00000320709,ENSP00000381089
ENSP00000255448,ENSP00000378350
ENSP00000376947,ENSP00000474529
ENSP00000368717,ENSP00000391283
ENSP00000390606,ENSP00000404220
ENSP00000293670,ENSP00000381607
ENSP00000029410,ENSP00000317473
ENSP00000259845,ENSP00000388667
ENSP00000263925,ENSP00000264935
ENSP00000384495,ENSP00000428684
ENSP00000310729,ENSP00000336887
ENSP00000363640,ENSP00000367164
ENSP00000366955,ENSP00000405985
ENSP00000358120,ENSP00000362255
ENSP00000052569,ENSP00000226218
ENSP00000272317,ENSP00000340118
ENSP00000302833,ENSP00000303482
ENSP00000284437,ENSP00000387209
ENSP00000254043,ENSP00000369317
ENSP00000364978,ENSP00000485697
ENSP00000300069,ENSP00000321347
ENSP00000215567,ENSP00000355308
ENSP00000309836,ENSP00000415299
ENSP00000472255,ENSP00000476265
ENSP00000371212,ENSP00000409225
ENSP00000264930,ENSP00000417573
ENSP00000252242,ENSP00000264651
ENSP00000335652,ENSP00000358857
ENSP00000231749,ENSP00000346440
ENSP00000322885,ENSP00000343246
ENSP00000217131,ENSP00000413976
ENSP00000352123,ENSP00000357901
ENSP00000335287,ENSP00000465734
ENSP00000330720,ENSP00000382592
ENSP00000311319,ENSP00000381500
ENSP00000254101,ENSP00000428770
ENSP00000364595,ENSP00000370839
ENSP00000358238,ENSP00000367428
ENSP00000350878,ENSP00000427690
ENSP00000008391,ENSP00000492818
ENSP00000215631,ENSP00000360107
ENSP00000322280,ENSP00000350409
ENSP00000264982,ENSP00000484252
ENSP00000261597,ENSP00000336790
ENSP00000369625,ENSP00000377570
ENSP00000262127,ENSP00000331734
ENSP00000359116,ENSP00000366487
ENSP00000243578,ENSP00000296921
ENSP00000357901,ENSP00000359116
ENSP00000291552,ENSP00000386071
ENSP00000357779,ENSP00000371595
ENSP00000271324,ENSP00000298523
ENSP00000349300,ENSP00000391969
ENSP00000307567,ENSP00000361646
ENSP00000297991,ENSP00000481559
ENSP00000263233,ENSP00000343867
ENSP00000239151,ENSP00000291560
ENSP00000295688,ENSP00000383101
ENSP00000299138,ENSP00000353786
ENSP00000301656,ENSP00000309439
ENSP00000352676,ENSP00000364480
ENSP00000251775,ENSP00000328036
ENSP00000382777,ENSP00000391560
ENSP00000262507,ENSP00000280734
ENSP00000343246,ENSP00000475270
ENSP00000452738,ENSP00000454659
ENSP00000301618,ENSP00000382777
ENSP00000306106,ENSP00000394259
ENSP00000356785,ENSP00000404232
ENSP00000446416,ENSP00000484252
ENSP00000291560,ENSP00000472469
ENSP00000252597,ENSP00000325266
